index,title,slug,tags,difficulty,related_questions
43,Multiply Strings,multiply-strings,"Math,String,Simulation",Medium,"2,66,67,415"
44,Wildcard Matching,wildcard-matching,"String,Dynamic Programming,Greedy,Recursion",Hard,10
45,Jump Game II,jump-game-ii,"Array,Dynamic Programming,Greedy",Medium,"55,1428,2001"
46,Permutations,permutations,"Array,Backtracking",Medium,"31,47,60,77"
47,Permutations II,permutations-ii,"Array,Backtracking",Medium,"31,46,267,1038"
48,Rotate Image,rotate-image,"Array,Math,Matrix",Medium,2015
49,Group Anagrams,group-anagrams,"Hash Table,String,Sorting",Medium,"242,249"
50,"Pow(x, n)",powx-n,"Math,Recursion",Medium,"69,372"
51,N-Queens,n-queens,"Array,Backtracking",Hard,"52,1043"
52,N-Queens II,n-queens-ii,Backtracking,Hard,51
53,Maximum Subarray,maximum-subarray,"Array,Divide and Conquer,Dynamic Programming",Easy,"121,152,697,1020,1849,1893"
54,Spiral Matrix,spiral-matrix,"Array,Matrix,Simulation",Medium,"59,921"
55,Jump Game,jump-game,"Array,Dynamic Programming,Greedy",Medium,"45,1428,2001"
56,Merge Intervals,merge-intervals,"Array,Sorting",Medium,"57,252,253,495,616,715,761,768,1028,2297,2319"
57,Insert Interval,insert-interval,Array,Medium,"56,715"
58,Length of Last Word,length-of-last-word,String,Easy,
59,Spiral Matrix II,spiral-matrix-ii,"Array,Matrix,Simulation",Medium,"54,921"
60,Permutation Sequence,permutation-sequence,"Math,Recursion",Hard,"31,46"
61,Rotate List,rotate-list,"Linked List,Two Pointers",Medium,"189,725"
62,Unique Paths,unique-paths,"Math,Dynamic Programming,Combinatorics",Medium,"63,64,174,2192"
63,Unique Paths II,unique-paths-ii,"Array,Dynamic Programming,Matrix",Medium,"62,1022"
64,Minimum Path Sum,minimum-path-sum,"Array,Dynamic Programming,Matrix",Medium,"62,174,741,2067,2192"
65,Valid Number,valid-number,String,Hard,8
66,Plus One,plus-one,"Array,Math",Easy,"43,67,369,1031"
67,Add Binary,add-binary,"Math,String,Bit Manipulation,Simulation",Easy,"2,43,66,1031"
68,Text Justification,text-justification,"Array,String,Simulation",Hard,"1714,2260"
69,Sqrt(x),sqrtx,"Math,Binary Search",Easy,"50,367"
70,Climbing Stairs,climbing-stairs,"Math,Dynamic Programming,Memoization",Easy,"747,1013,1236"
71,Simplify Path,simplify-path,"String,Stack",Medium,
72,Edit Distance,edit-distance,"String,Dynamic Programming",Hard,"161,583,712,1105,2311"
73,Set Matrix Zeroes,set-matrix-zeroes,"Array,Hash Table,Matrix",Medium,"289,2244,2259,2314"
74,Search a 2D Matrix,search-a-2d-matrix,"Array,Binary Search,Matrix",Medium,240
75,Sort Colors,sort-colors,"Array,Two Pointers,Sorting",Medium,"148,280,324"
76,Minimum Window Substring,minimum-window-substring,"Hash Table,String,Sliding Window",Hard,"30,209,239,567,632,727"
77,Combinations,combinations,Backtracking,Medium,"39,46"
78,Subsets,subsets,"Array,Backtracking,Bit Manipulation",Medium,"90,320,800,2109,2170"
79,Word Search,word-search,"Array,Backtracking,Matrix",Medium,212
80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,"Array,Two Pointers",Medium,26
81,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,"Array,Binary Search",Medium,33
82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,"Linked List,Two Pointers",Medium,"83,1982"
83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,Linked List,Easy,"82,1982"
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,"Array,Stack,Monotonic Stack",Hard,"85,1918"
85,Maximal Rectangle,maximal-rectangle,"Array,Dynamic Programming,Stack,Matrix,Monotonic Stack",Hard,"84,221"
86,Partition List,partition-list,"Linked List,Two Pointers",Medium,2265
87,Scramble String,scramble-string,"String,Dynamic Programming",Hard,
88,Merge Sorted Array,merge-sorted-array,"Array,Two Pointers,Sorting",Easy,"21,1019,1028"
89,Gray Code,gray-code,"Math,Backtracking,Bit Manipulation",Medium,717
90,Subsets II,subsets-ii,"Array,Backtracking,Bit Manipulation",Medium,"78,2109"
91,Decode Ways,decode-ways,"String,Dynamic Programming",Medium,"639,2091"
92,Reverse Linked List II,reverse-linked-list-ii,Linked List,Medium,206
93,Restore IP Addresses,restore-ip-addresses,"String,Backtracking",Medium,752
94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,"Stack,Tree,Depth-First Search,Binary Tree",Easy,"98,144,145,173,230,272,285,758,799"
95,Unique Binary Search Trees II,unique-binary-search-trees-ii,"Dynamic Programming,Backtracking,Tree,Binary Search Tree,Binary Tree",Medium,"96,241"
96,Unique Binary Search Trees,unique-binary-search-trees,"Math,Dynamic Programming,Tree,Binary Search Tree,Binary Tree",Medium,95
97,Interleaving String,interleaving-string,"String,Dynamic Programming",Medium,
98,Validate Binary Search Tree,validate-binary-search-tree,"Tree,Depth-First Search,Binary Search Tree,Binary Tree",Medium,"94,501"
99,Recover Binary Search Tree,recover-binary-search-tree,"Tree,Depth-First Search,Binary Search Tree,Binary Tree",Medium,
100,Same Tree,same-tree,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Easy,
101,Symmetric Tree,symmetric-tree,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Easy,
102,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,"Tree,Breadth-First Search,Binary Tree",Medium,"103,107,111,314,637,764,1035"
103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,"Tree,Breadth-First Search,Binary Tree",Medium,102
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Easy,"110,111,774,1492"
105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,"Array,Hash Table,Divide and Conquer,Tree,Binary Tree",Medium,106
106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,"Array,Hash Table,Divide and Conquer,Tree,Binary Tree",Medium,105
107,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,"Tree,Breadth-First Search,Binary Tree",Medium,"102,637"
108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,"Array,Divide and Conquer,Tree,Binary Search Tree,Binary Tree",Easy,109
109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,"Linked List,Divide and Conquer,Tree,Binary Search Tree,Binary Tree",Medium,"108,2306"
110,Balanced Binary Tree,balanced-binary-tree,"Tree,Depth-First Search,Binary Tree",Easy,104
111,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Easy,"102,104"
112,Path Sum,path-sum,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Easy,"113,124,129,437,666"
113,Path Sum II,path-sum-ii,"Backtracking,Tree,Depth-First Search,Binary Tree",Medium,"112,257,437,666,2217"
114,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,"Linked List,Stack,Tree,Depth-First Search,Binary Tree",Medium,"766,1796"
115,Distinct Subsequences,distinct-subsequences,"String,Dynamic Programming",Hard,2115
116,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,"Linked List,Tree,Depth-First Search,Breadth-First Search,Binary Tree",Medium,"117,199"
117,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,"Linked List,Tree,Depth-First Search,Breadth-First Search,Binary Tree",Medium,116
118,Pascal's Triangle,pascals-triangle,"Array,Dynamic Programming",Easy,119
119,Pascal's Triangle II,pascals-triangle-ii,"Array,Dynamic Programming",Easy,"118,2324"
120,Triangle,triangle,"Array,Dynamic Programming",Medium,
121,Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,"Array,Dynamic Programming",Easy,"53,122,123,188,309,2138,2144"
122,Best Time to Buy and Sell Stock II,best-time-to-buy-and-sell-stock-ii,"Array,Dynamic Programming,Greedy",Medium,"121,123,188,309,714"
123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,"Array,Dynamic Programming",Hard,"121,122,188,689"
124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,"Dynamic Programming,Tree,Depth-First Search,Binary Tree",Hard,"112,129,666,687,1492"
125,Valid Palindrome,valid-palindrome,"Two Pointers,String",Easy,"234,680,2130,2231"
126,Word Ladder II,word-ladder-ii,"Hash Table,String,Backtracking,Breadth-First Search",Hard,"127,2276"
127,Word Ladder,word-ladder,"Hash Table,String,Breadth-First Search",Hard,"126,433"
128,Longest Consecutive Sequence,longest-consecutive-sequence,"Array,Hash Table,Union Find",Medium,"298,2278"
129,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,"Tree,Depth-First Search,Binary Tree",Medium,"112,124,1030"
130,Surrounded Regions,surrounded-regions,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix",Medium,"200,286"
131,Palindrome Partitioning,palindrome-partitioning,"String,Dynamic Programming,Backtracking",Medium,"132,1871"
132,Palindrome Partitioning II,palindrome-partitioning-ii,"String,Dynamic Programming",Hard,"131,1871"
133,Clone Graph,clone-graph,"Hash Table,Depth-First Search,Breadth-First Search,Graph",Medium,"138,1624,1634"
134,Gas Station,gas-station,"Array,Greedy",Medium,1346
135,Candy,candy,"Array,Greedy",Hard,
136,Single Number,single-number,"Array,Bit Manipulation",Easy,"137,260,268,287,389"
137,Single Number II,single-number-ii,"Array,Bit Manipulation",Medium,"136,260"
138,Copy List with Random Pointer,copy-list-with-random-pointer,"Hash Table,Linked List",Medium,"133,1624,1634"
139,Word Break,word-break,"Hash Table,String,Dynamic Programming,Trie,Memoization",Medium,140
140,Word Break II,word-break-ii,"Hash Table,String,Dynamic Programming,Backtracking,Trie,Memoization",Hard,"139,472"
141,Linked List Cycle,linked-list-cycle,"Hash Table,Linked List,Two Pointers",Easy,"142,202"
142,Linked List Cycle II,linked-list-cycle-ii,"Hash Table,Linked List,Two Pointers",Medium,"141,287"
143,Reorder List,reorder-list,"Linked List,Two Pointers,Stack,Recursion",Medium,2216
144,Binary Tree Preorder Traversal,binary-tree-preorder-traversal,"Stack,Tree,Depth-First Search,Binary Tree",Easy,"94,255,775"
145,Binary Tree Postorder Traversal,binary-tree-postorder-traversal,"Stack,Tree,Depth-First Search,Binary Tree",Easy,"94,776"
146,LRU Cache,lru-cache,"Hash Table,Linked List,Design,Doubly-Linked List",Medium,"460,588,604,1903"
147,Insertion Sort List,insertion-sort-list,"Linked List,Sorting",Medium,"148,850"
148,Sort List,sort-list,"Linked List,Two Pointers,Divide and Conquer,Sorting,Merge Sort",Medium,"21,75,147,1992"
149,Max Points on a Line,max-points-on-a-line,"Array,Hash Table,Math,Geometry",Hard,"356,2287"
150,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,"Array,Math,Stack",Medium,"224,282"
151,Reverse Words in a String,reverse-words-in-a-string,"Two Pointers,String",Medium,186
152,Maximum Product Subarray,maximum-product-subarray,"Array,Dynamic Programming",Medium,"53,198,238,628,713"
153,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,"Array,Binary Search",Medium,"33,154"
154,Find Minimum in Rotated Sorted Array II,find-minimum-in-rotated-sorted-array-ii,"Array,Binary Search",Hard,153
155,Min Stack,min-stack,"Stack,Design",Easy,"239,716"
156,Binary Tree Upside Down,binary-tree-upside-down,"Tree,Depth-First Search,Binary Tree",Medium,206
157,Read N Characters Given Read4,read-n-characters-given-read4,"String,Simulation,Interactive",Easy,158
158,Read N Characters Given read4 II - Call Multiple Times,read-n-characters-given-read4-ii-call-multiple-times,"String,Simulation,Interactive",Hard,157
159,Longest Substring with At Most Two Distinct Characters,longest-substring-with-at-most-two-distinct-characters,"Hash Table,String,Sliding Window",Medium,"3,239,340,1034"
160,Intersection of Two Linked Lists,intersection-of-two-linked-lists,"Hash Table,Linked List,Two Pointers",Easy,599
161,One Edit Distance,one-edit-distance,"Two Pointers,String",Medium,72
162,Find Peak Element,find-peak-element,"Array,Binary Search",Medium,"882,2047,2273,2316"
163,Missing Ranges,missing-ranges,Array,Easy,228
164,Maximum Gap,maximum-gap,"Array,Sorting,Bucket Sort,Radix Sort",Hard,
165,Compare Version Numbers,compare-version-numbers,"Two Pointers,String",Medium,
166,Fraction to Recurring Decimal,fraction-to-recurring-decimal,"Hash Table,Math,String",Medium,
167,Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,"Array,Two Pointers,Binary Search",Medium,"1,653,1083"
168,Excel Sheet Column Title,excel-sheet-column-title,"Math,String",Easy,"171,2304"
169,Majority Element,majority-element,"Array,Hash Table,Divide and Conquer,Sorting,Counting",Easy,"229,1102"
170,Two Sum III - Data structure design,two-sum-iii-data-structure-design,"Array,Hash Table,Two Pointers,Design,Data Stream",Easy,"1,288,653"
171,Excel Sheet Column Number,excel-sheet-column-number,"Math,String",Easy,"168,2304"
172,Factorial Trailing Zeroes,factorial-trailing-zeroes,Math,Medium,"233,809,2222"
173,Binary Search Tree Iterator,binary-search-tree-iterator,"Stack,Tree,Design,Binary Search Tree,Binary Tree,Iterator",Medium,"94,251,281,284,285,1729"
174,Dungeon Game,dungeon-game,"Array,Dynamic Programming,Matrix",Hard,"62,64,741,2354"
175,Combine Two Tables,combine-two-tables,Database,Easy,577
176,Second Highest Salary,second-highest-salary,Database,Medium,
177,Nth Highest Salary,nth-highest-salary,Database,Medium,2336
178,Rank Scores,rank-scores,Database,Medium,
179,Largest Number,largest-number,"String,Greedy,Sorting",Medium,2284
180,Consecutive Numbers,consecutive-numbers,Database,Medium,
181,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,Database,Easy,
182,Duplicate Emails,duplicate-emails,Database,Easy,
183,Customers Who Never Order,customers-who-never-order,Database,Easy,
184,Department Highest Salary,department-highest-salary,Database,Medium,1214
185,Department Top Three Salaries,department-top-three-salaries,Database,Hard,
186,Reverse Words in a String II,reverse-words-in-a-string-ii,"Two Pointers,String",Medium,"151,189"
187,Repeated DNA Sequences,repeated-dna-sequences,"Hash Table,String,Bit Manipulation,Sliding Window,Rolling Hash,Hash Function",Medium,
188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,"Array,Dynamic Programming",Hard,"121,122,123"
189,Rotate Array,rotate-array,"Array,Math,Two Pointers",Medium,"61,186"
190,Reverse Bits,reverse-bits,"Divide and Conquer,Bit Manipulation",Easy,"7,191,2238"
191,Number of 1 Bits,number-of-1-bits,Bit Manipulation,Easy,"190,231,338,401,461,693,767"
192,Word Frequency,word-frequency,Shell,Medium,347
193,Valid Phone Numbers,valid-phone-numbers,Shell,Easy,
194,Transpose File,transpose-file,Shell,Medium,
195,Tenth Line,tenth-line,Shell,Easy,
196,Delete Duplicate Emails,delete-duplicate-emails,Database,Easy,
197,Rising Temperature,rising-temperature,Database,Easy,
198,House Robber,house-robber,"Array,Dynamic Programming",Medium,"152,213,256,276,337,600,656,740,2262"
199,Binary Tree Right Side View,binary-tree-right-side-view,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Medium,"116,545"
200,Number of Islands,number-of-islands,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix",Medium,"130,286,305,323,694,695,2035,2103"
201,Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,Bit Manipulation,Medium,
202,Happy Number,happy-number,"Hash Table,Math,Two Pointers",Easy,"141,258,263,2076"
203,Remove Linked List Elements,remove-linked-list-elements,"Linked List,Recursion",Easy,"27,237,2216"
204,Count Primes,count-primes,"Array,Math,Enumeration,Number Theory",Medium,"263,264,279"
205,Isomorphic Strings,isomorphic-strings,"Hash Table,String",Easy,290
206,Reverse Linked List,reverse-linked-list,"Linked List,Recursion",Easy,"92,156,234,2196,2236"
207,Course Schedule,course-schedule,"Depth-First Search,Breadth-First Search,Graph,Topological Sort",Medium,"210,261,310,630"
208,Implement Trie (Prefix Tree),implement-trie-prefix-tree,"Hash Table,String,Design,Trie",Medium,"211,642,648,676,1433,1949"
209,Minimum Size Subarray Sum,minimum-size-subarray-sum,"Array,Binary Search,Sliding Window,Prefix Sum",Medium,"76,325,718,1776,2211,2329"
210,Course Schedule II,course-schedule-ii,"Depth-First Search,Breadth-First Search,Graph,Topological Sort",Medium,"207,269,310,444,630,1101,2220"
211,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,"String,Depth-First Search,Design,Trie",Medium,"208,746"
212,Word Search II,word-search-ii,"Array,String,Backtracking,Trie,Matrix",Hard,"79,1022,1433"
213,House Robber II,house-robber-ii,"Array,Dynamic Programming",Medium,"198,256,276,337,600,656"
214,Shortest Palindrome,shortest-palindrome,"String,Rolling Hash,String Matching,Hash Function",Hard,"5,28,336"
215,Kth Largest Element in an Array,kth-largest-element-in-an-array,"Array,Divide and Conquer,Sorting,Heap (Priority Queue),Quickselect",Medium,"324,347,414,789,1014,2113,2204,2250"
216,Combination Sum III,combination-sum-iii,"Array,Backtracking",Medium,39
217,Contains Duplicate,contains-duplicate,"Array,Hash Table,Sorting",Easy,"219,220"
218,The Skyline Problem,the-skyline-problem,"Array,Divide and Conquer,Binary Indexed Tree,Segment Tree,Line Sweep,Heap (Priority Queue),Ordered Set",Hard,699
219,Contains Duplicate II,contains-duplicate-ii,"Array,Hash Table,Sliding Window",Easy,"217,220"
220,Contains Duplicate III,contains-duplicate-iii,"Array,Sliding Window,Sorting,Bucket Sort,Ordered Set",Medium,"217,219"
221,Maximal Square,maximal-square,"Array,Dynamic Programming,Matrix",Medium,"85,769,1312,2200"
222,Count Complete Tree Nodes,count-complete-tree-nodes,"Binary Search,Tree,Depth-First Search,Binary Tree",Medium,270
223,Rectangle Area,rectangle-area,"Math,Geometry",Medium,866
224,Basic Calculator,basic-calculator,"Math,String,Stack,Recursion",Hard,"150,227,241,282,785,2147,2328"
225,Implement Stack using Queues,implement-stack-using-queues,"Stack,Design,Queue",Easy,232
226,Invert Binary Tree,invert-binary-tree,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Easy,
227,Basic Calculator II,basic-calculator-ii,"Math,String,Stack",Medium,"224,282,785"
228,Summary Ranges,summary-ranges,Array,Easy,"163,352"
229,Majority Element II,majority-element-ii,"Array,Hash Table,Sorting,Counting",Medium,"169,1102"
230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,"Tree,Depth-First Search,Binary Search Tree,Binary Tree",Medium,"94,671"
231,Power of Two,power-of-two,"Math,Bit Manipulation,Recursion",Easy,"191,326,342"
232,Implement Queue using Stacks,implement-queue-using-stacks,"Stack,Design,Queue",Easy,225
233,Number of Digit One,number-of-digit-one,"Math,Dynamic Programming,Recursion",Hard,"172,1068"
234,Palindrome Linked List,palindrome-linked-list,"Linked List,Two Pointers,Stack,Recursion",Easy,"9,125,206,2236"
235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,"Tree,Depth-First Search,Binary Search Tree,Binary Tree",Easy,"236,1190,1780,1790,1816"
236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,"Tree,Depth-First Search,Binary Tree",Medium,"235,1190,1354,1780,1790,1816,2217"
237,Delete Node in a Linked List,delete-node-in-a-linked-list,Linked List,Easy,203
238,Product of Array Except Self,product-of-array-except-self,"Array,Prefix Sum",Medium,"42,152,265,2267"
239,Sliding Window Maximum,sliding-window-maximum,"Array,Queue,Sliding Window,Heap (Priority Queue),Monotonic Queue",Hard,"76,155,159,265,1814"
240,Search a 2D Matrix II,search-a-2d-matrix-ii,"Array,Binary Search,Divide and Conquer,Matrix",Medium,74
241,Different Ways to Add Parentheses,different-ways-to-add-parentheses,"Math,String,Dynamic Programming,Recursion,Memoization",Medium,"95,224,282,2147,2328"
242,Valid Anagram,valid-anagram,"Hash Table,String,Sorting",Easy,"49,266,438"
243,Shortest Word Distance,shortest-word-distance,"Array,String",Easy,"244,245,2320"
244,Shortest Word Distance II,shortest-word-distance-ii,"Array,Hash Table,Two Pointers,String,Design",Medium,"21,243,245"
245,Shortest Word Distance III,shortest-word-distance-iii,"Array,String",Medium,"243,244"
246,Strobogrammatic Number,strobogrammatic-number,"Hash Table,Two Pointers,String",Easy,"247,248,1069"
247,Strobogrammatic Number II,strobogrammatic-number-ii,"Array,String,Recursion",Medium,"246,248,2202"
248,Strobogrammatic Number III,strobogrammatic-number-iii,"Array,String,Recursion",Hard,"246,247"
249,Group Shifted Strings,group-shifted-strings,"Array,Hash Table,String",Medium,49
250,Count Univalue Subtrees,count-univalue-subtrees,"Tree,Depth-First Search,Binary Tree",Medium,"572,687"
251,Flatten 2D Vector,flatten-2d-vector,"Array,Two Pointers,Design,Iterator",Medium,"173,281,284,341"
252,Meeting Rooms,meeting-rooms,"Array,Sorting",Easy,"56,253"
253,Meeting Rooms II,meeting-rooms-ii,"Array,Two Pointers,Greedy,Sorting,Heap (Priority Queue)",Medium,"56,252,452,1184"
254,Factor Combinations,factor-combinations,"Array,Backtracking",Medium,39
255,Verify Preorder Sequence in Binary Search Tree,verify-preorder-sequence-in-binary-search-tree,"Stack,Tree,Binary Search Tree,Recursion,Monotonic Stack,Binary Tree",Medium,144
256,Paint House,paint-house,"Array,Dynamic Programming",Medium,"198,213,265,276"
257,Binary Tree Paths,binary-tree-paths,"String,Backtracking,Tree,Depth-First Search,Binary Tree",Easy,"113,1030,2217"
258,Add Digits,add-digits,"Math,Simulation,Number Theory",Easy,"202,1082,2076,2264"
259,3Sum Smaller,3sum-smaller,"Array,Two Pointers,Binary Search,Sorting",Medium,"15,16,611,1083"
260,Single Number III,single-number-iii,"Array,Bit Manipulation",Medium,"136,137"
261,Graph Valid Tree,graph-valid-tree,"Depth-First Search,Breadth-First Search,Union Find,Graph",Medium,"207,323,871"
262,Trips and Users,trips-and-users,Database,Hard,"1779,1785,1795"
263,Ugly Number,ugly-number,Math,Easy,"202,204,264"
264,Ugly Number II,ugly-number-ii,"Hash Table,Math,Dynamic Programming,Heap (Priority Queue)",Medium,"23,204,263,279,313,1307"
265,Paint House II,paint-house-ii,"Array,Dynamic Programming",Hard,"238,239,256,276"
266,Palindrome Permutation,palindrome-permutation,"Hash Table,String,Bit Manipulation",Easy,"5,242,267,409"
267,Palindrome Permutation II,palindrome-permutation-ii,"Hash Table,String,Backtracking",Medium,"31,47,266"
268,Missing Number,missing-number,"Array,Hash Table,Math,Bit Manipulation,Sorting",Easy,"41,136,287,770,2107"
269,Alien Dictionary,alien-dictionary,"Array,String,Depth-First Search,Breadth-First Search,Graph,Topological Sort",Hard,210
270,Closest Binary Search Tree Value,closest-binary-search-tree-value,"Binary Search,Tree,Depth-First Search,Binary Search Tree,Binary Tree",Easy,"222,272,783"
271,Encode and Decode Strings,encode-and-decode-strings,"Array,String,Design",Medium,"38,297,443,696"
272,Closest Binary Search Tree Value II,closest-binary-search-tree-value-ii,"Two Pointers,Stack,Tree,Depth-First Search,Binary Search Tree,Heap (Priority Queue),Binary Tree",Hard,"94,270"
273,Integer to English Words,integer-to-english-words,"Math,String,Recursion",Hard,12
274,H-Index,h-index,"Array,Sorting,Counting Sort",Medium,275
275,H-Index II,h-index-ii,"Array,Binary Search",Medium,274
276,Paint Fence,paint-fence,Dynamic Programming,Medium,"198,213,256,265"
277,Find the Celebrity,find-the-celebrity,"Two Pointers,Greedy,Graph,Interactive",Medium,1039
278,First Bad Version,first-bad-version,"Binary Search,Interactive",Easy,"34,35,374"
279,Perfect Squares,perfect-squares,"Math,Dynamic Programming,Breadth-First Search",Medium,"204,264"
280,Wiggle Sort,wiggle-sort,"Array,Greedy,Sorting",Medium,"75,324,2085"
281,Zigzag Iterator,zigzag-iterator,"Array,Design,Queue,Iterator",Medium,"173,251,284,341,1894"
282,Expression Add Operators,expression-add-operators,"Math,String,Backtracking",Hard,"150,224,227,241,494"
